ID,Type,Message,Medical_severity
18,validation,I am in Croix-des-Bouquets. We have health issues. They ( workers ) are in Santo 15. ( an area in Croix-des-Bouquets ),1
38,validation,"People I'm at Delma 2, we don't anything what so ever, please provide us with some food, water, and medicine",1
39,test,"We are at Gressier we needs assistance right away. ASAP, Come help us.",0
78,validation,How can we find help and food in fontamara 43 rue menos,0
118,validation,( im taking a guess at this sorry its a mix of creole and french. sms.) message as i understand. whos close to mounn fort mercredi  food and water is running low. because there is a problem with people hurt. please help us.,1
128,validation,"I live in La Plaine, my wife is pregnant, she got injured by falling blocks. She cannot walk. we have not found anyone to help us. We are in the area called Moya",1
208,validation,The medicine should be distributed in all the departments ( counties ) because the hospital ( s ). ..,0
279,test,"they are in a area near a mountain hungry, sick their is no water please remember us",1
349,test,We are in Matisan we have medical problems and we are in lack of water. This sms must be coming from an area that must have not received aid.,1
538,validation,"they need help of every king, food, water, health services at Thomassin 32, 12 19 km east of Port-au-Prince. There are about 300 people",0
589,test,"The survivors of Pernier Fatima We have about 650 families who need food, tent, chothing, medicine and more. We have some people with broken bones, some who are dead ..",1
698,validation,"Please people in Carrefour, Magloire Ambroide Avenue need shelter and the aids do not reach this area, please do something shelter, near the Salem church",0
738,validation,"I am AT nazon Street, with no food, no doctor with a baby.",0
749,test,"we are in need of water, anti biotics, face masks and tents. we are at Lamentin 54, rue cocteau, carrefour",1
789,test,We need medicine for Hypertension and tampons/pads and medicine for thee baby too.,1
799,test,"Please, durinfg the earthquake, we lost our house and we are injured and we need help. we are students",1
938,validation,Please send food. Thank you. I'm in the village of La Plaine,0
1058,validation,The house is broken. There are 5 people who have been injured. We need urgent assistance. Please call the number for location.,1
1089,test,"We need food, water. .. . The kids are sick, fever, flu. .. Help. .. We are @ Cote 28, rue Richard",1
1108,validation,Everyone in my household has survived only one of my nephew has a broken leg We need help I have a sister in miami please tell to call me ,1
1189,test,There's no one to send me money,0
1209,test,"I need a job too, but for now I need, food, water, and a tent. And I think that we need Psychologic help as well",0
1348,validation,Good evening Digicel. I have my neighbour who has a broken leg. He did not find any help so far. What can you do for him as a company that is helping earthquake victims in Haiti? ,1
1427,train,I have a son who'd been hurt. They took him away for treatment? but O don't know to what hospital they. .. ,1
1433,train,i would like to know when the aftershocks are going to end. thank you. Willy,0
1468,validation,they say there will be a huge aftershock tonight bigger than the first earthquake i need to know if it's true. we're suffering a lot me my wife and kids.,0
1491,train,"Hello, I am in Fort Jacques, a wall fell on my legs, I need HELP",1
1515,train,".. we need special attention for Gresssier, especially in the Petite Boukan section, we haven't receive anything for 10 day they will die of this without. ...",1
1542,train,Hello I'd like to know if really there will be more earthquakes again this weekend ,0
1545,train,"Hello all people I'm here in the street My house is collapsed, broken My cousin, my aunt ",0
1555,train,"We have had problems since the earthquake. There is no authority to help us and we haven't been able to find water. A lot of people are hurt, we stared a comittee ",1
1563,train,"Brothers and sister that distribute drugs and food, we are in Des cesars street prolongation ally way Felix, we are asking for support becuse we have nothing",0
1643,train,"Hello I am a student of L'ecole Sorbonne, the school has colapsed and I'm wounded, my home is also destroyed and we haven't found anything salvageable. We need help, please send help.",1
1675,train,Who is next to us that could receive a PREGNANT WOMAN needing medical help? ,1
1687,train,"We are starving to death without anything. PLEASE bring to us water, food, tents, temporary home, sheets, MEDICAL PRODUCTS and electricity. We are in Lilavwa 17",1
1716,train,"urgent please we are tired to ask help i've lost my father today we've been hosted in a center where my dad died, i made a peas garden and",1
1718,validation,"We need medical help at climatec, rue aubran, opposite BPH Banque Populaire Haitienne Petion-Ville",1
1736,train,The the province of Carrefour the people are sleeping in the street in the dew. The only thing they have received is water. There is no food. There are many pregnant women in the street.,1
1739,test,"hello to you, please, i would like to know how to find care for my husband, he is fractured in hand and foot and cannot walk, thankyou ",1
1750,train,"Hello i would like to know if, even if you are not injured, can you go to the hospital for pounding heart. ",0
1772,train,"Please, we need your hlep. Do not neglect the provincial villages. We have many people who need care in a hospital. We are suffering. And all the prisoners have escaped in Gonaives.",1
1787,train,which radio station should I listen to to find out information about someone who went to get medical care in Saint-Domingue?,1
1795,train,We are four different families staying at one small place. We have two wounded.,1
1796,train,"I have a member with injuries wiht me, we cannot help that person, since we've lost everything. please help.",1
1816,train,Where would we find a doctor for the kids that fell in school near the Chaple?,1
1826,train,Please I would most like information about a Swiss or French visa,0
1923,train,"The Raboteau hospital, emergency unit, needs medicines, orthopedic doctors, because there are many people who have broken limbs, water, food.",1
1924,train,"In Gonaives we're making a lot of effort with the people but we need water and food, many health centers are blocked we dont have means to help ourselves",1
1961,train,"We in Bouchereau, the Valley of Jacmel. All the families are slpeeping in the yard, We are cold. We need tents and medication",1
1975,train,I would like to know if the relief workers will stay only in Port-au-Prince. Will they come to the province as well because many are hurt here.,1
1981,train,information on the situation in Haiti.,0
2017,train,To be able to continue planting we need health care because malaria and typhoid are spreading out. Message from the Peasants Group of Fondikak ( GPPF ).,1
2030,train,Where are they taking care of people who are injured? ,1
2049,test,We are the group Women in Democracy. Leogane has totally collapsed. We need help urgently. ,0
2066,train,"Im in pain. While the last aftershock i fell on my hips and im bleeing. I would like some help please, thank you",1
2089,test,"Please, there are a whole bunch of people in Morne Lazar, museau, Delmas 60. in need of water food and medical help. we are bout 3000",1
2098,validation,"SOS for the people of Carrefour, Zone Bertin,Titus, Route Riviere Froide. Those people haven't received anything like water, food and first aid. Anyone that would like to help us you... ",0
2102,train,Please I am asking for my neighborhood. We are in Matye/Matthieu. We haven't benefited from any aid. They are distributing aid only in the city of Leogane. I am asking for a chance on behalf of everyone in Matthieu.,0
2109,test,I am a child. My leg is broken. Please send me some food so I don't die. ,1
2116,train,"There is a place in Leogane, called Ti basen. No one has sent aid there.",0
2126,train,"SOS on behalf of Carrefour residents. We have no water, food, and tents. We haven't received any aid. Thank you.",0
2158,validation,I need food and care I lived in Delma my house was broken everyone died I am with my cousin I can stay at Gonaives we are sleeping at peoples home still but we are hungry.,1
2160,train,"We need food for energy, water treatments, pain medications and other meds for infections. Medics for tooth ache, fever, vomiting and diarrhea.",1
2199,test,"The centre is in the Legliz de Dye de la nouvel ( God of the Word ). Sice the catastrophy we did not receive anything, we are dying of hunger, hunger is killing us.",0
2208,validation,Is it normal to have so many aftershocks after the Earthquake? I feel like I am having a heart attack,1
2229,test,"We are located in Rue Jean Charles Fort National. We are 514 people. We need aid. Food, water and medication.",1
2232,train,Please let me know where pregnant women can get help. Please. help.,1
2294,train,"We are located in Canape-vert next to the Comcel's antenna, we haven't received anything to eat. Please help us we're starving",0
2302,train,"Good Morning, we are located around the runway. we haven't received any help here. There are victims among us. Here is where we area we are a little further down from Building 2004 Please help us. we are awaiting your response",0
2316,train,"I have a 4 year old child who is sick, can you help me get a tarp please",1
2317,train,.. . between them an 8 year old adolescent with a broken leg.,1
2325,train,"We don't have anything. We need water, food, medicine, our address is across from Merger. ",1
2327,train,we were very affected by the earthquake. we are in lizon 37. we need a lot of help,0
2329,test,"We need your help we need food, water and medical supplies in delmas 75 publin. Av P. Philipe street",1
2350,train,"People from Gressier living in the 2nd section in Morne Chandel, we are asking the concerned authorities to please check up on us because we haven't received anything. We need food, water and medecine.",1
2377,train,These people that are in Providence may be a banned We are hungry they have problems of health and institution.,1
2378,validation,"We need potable water, food, many tents or the cold will kill us, medecine for flu, infection and fever etc. We have many children with us. We. .. ",1
2389,test,"I'm a university student at the state university, studying nursing, the person who used to help me died on the 12th of january, please i need help",1
2391,train,"the people that are entering the province are by the multitudes. What is your vision for them? They are suffering from health problems, hunger, and everything is too expensive.",1
2400,train,"dying of hunber, there is no water to drink, until now there are people under houses please if you have information on what to do when the aftershocks come, and. ..",0
2449,test,"Need to know if there's no other foreing hospital to help wounded, than the on in republican republic,",1
2451,train,We need help for the victims here at the general hospital. We need medicine and food.,1
2452,train,"I am from Fort De Jacque. I a problem, a wall fell on my feet. I need help, I am at home!",1
2475,train,".. . can no longer stand it. They are starting to become infected. Please do this for us. God will repay you. Our address is across from the Hotel Lambi Night Club, street. .. ",1
2548,validation,"Excuse me. I saw your live in Leognae Haiti in Guerin States net to a Navy American Base. We eed help. Please come on. We need a doctor, nurse and food. Please hurry. ",1
2551,train,.. . children and adults who were hurt so they wont die we went to the doctor but if we get help like food and medicine we could be useful thank you,1
2553,train,The people among us who are the most injured is a 3 year old child. He piece of concrete fell on his head and his head is injured. We also have a person with a broken hand who is a nurse.,1
2558,validation,"food, we have no water. We are in the streets and we have sick peoplel with us ",1
2560,train,food no water in the street we are we have people w/us that needs medical attention.,1
2573,train,.. . earthquake. i'm feeling traumatized. please help me. ,0
2599,test,".. . event discussed national. People are not getting aid. Many people have already died because of hunger, thirst, psychological health problems, stress, espcially little. .. ",0
2615,train,"We are victims at Ave Christophe, Imp Lavisse. We havent received any help. We need your help. Thank you.",0
2652,train,"help us we need tent, water and food. we are dying of hunger. please help",0
2670,train,"we are a whole bunch at Mangonese road, in christ roi port au prince. we need water food and medical assistance",1
2717,train,I live below the opening of the Caribbean market. I've been wounded.,1
2738,validation,"We need help because these 2 victims 12 january we have refuge ( or, we are sheltering them ) at pont sonde jan some things were distributed to us areached/located. asked for . ",0
2739,test,I have 2 people who are alive under some rubble. I do not know what to do. We live in Carrefour across the street from the local reeducation centre,0
2742,train,I would like to know what is happening in the country,0
2744,train,i am a victime in the area of neret. the 12 of january i lost my hous and my child is badly hurt. we are about 1233 in the the housing center in nerret near the colleg antillais,0
2757,train,"Please I was hurt in the quake. I can't get my card, please give me a call.",0
2763,train,"To all institutions receiving this message and that need a health agent to work in temporary shelters and cleanup of the sanitary installations and water treatment, etc, don't forget ( me ) ",0
2765,train,Need medicine and many tents. At Telandieu and Leonord. Thank you in advance.,1
2789,test,"Help us, Digicel! The people of Mariani are dying. We have no food, clothes, money. What will we do. There are people with typhoid who are becoming very sick. Please help us.",1
2808,validation,I would like some info. on the earhtquake.,0
2811,train,"good morning, on cote plage, 24 impasse malreaux, we need everything. help is not reaching us. we have more thna 200 people on 3 field . ..  ",1
2842,train,"Hello. We have nothing to eat. We have children with us. We need diapers, water, milk, medicine, shelter. We're wounded. We're staying at Rue Lamarre, Impasse Mouzin in Antre ( Impasse Mousin, 1re-Turgeau, Port-au-Prince, )",0
2854,train,I am trapped in a Car in the Riviere Grise ( Gray River ) in Croix des Missions. The Bridge is about to be destroyed and we are at risk. .. please send help,0
2912,train,University of Saint Gerard in carrefour feuilles there are people under the rubles that are still alive.,0
2978,validation,"weneed help in Ravine Pintade, right across from Olympic market",0
2993,train,"Hello we are OSCB social organisation in petionville road #28 we need shelter, we need everything possible ",0
2995,train,Very sick and starving. I have nothing. I'm in Port au Prince. ..,1
3015,train,Please my borther I need a tent can you help me find one,0
3038,validation,"Hello, members of the Church of the Nazareen still did not find anything like donations",0
3045,train,"Delma 24, impass madiou, we need water and food they have not deliver any help for us",0
3063,train,Person is sick and needs to go to hospital,1
3095,train,"Hello please help us, we are in croix des bouquets Rue Fort Dargout ( street ) we don't have food or water, we are in the streets, we have sick people with us, we need help please",1
3100,train,We are in provisional shelter in Park Vila. We haven't received any aid. We are hungry.,0
3121,train,yes we understand all the things the health ministry i saying but how are we supposed to find these things in the first place we are not working and we have no help. tell them what they can do to help,0
